auctionID,auctionProduct,serviceType,deliveryStart,deliveryEnd,clearedVolume,clearingPrice
1,DRH,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,175.0,2.75
1,DRH,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,239.0,4.04
1,DRH,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,290.0,-3.3
1,DRH,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,290.0,-3.53
1,DRH,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,290.0,-5.81
1,DRH,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,290.0,-4.5
1,DML,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,150.0,2.07
1,DML,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,150.0,2.12
1,DML,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,150.0,5.77
1,DML,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,150.0,4.02
1,DML,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,141.0,8.23
1,DML,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,150.0,5.95
1,DCH,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,1195.0,3.86
1,DCH,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,1200.0,5.64
1,DCH,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,1091.0,1.78
1,DCH,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,1076.0,2.3
1,DCH,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,1037.0,1.96
1,DCH,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,1058.0,1.86
1,DRL,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,270.0,3.33
1,DRL,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,270.0,5.79
1,DRL,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,167.0,13.3
1,DRL,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,167.0,9.53
1,DRL,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,167.0,15.6
1,DRL,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,167.0,12.81
1,DCL,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,965.0,0.26
1,DCL,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,976.0,0.2
1,DCL,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,941.0,2.28
1,DCL,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,901.0,1.36
1,DCL,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,926.0,3.25
1,DCL,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,940.0,1.39
1,DMH,Response,2023-11-02T23:00:00,2023-11-03T03:00:00,150.0,5.37
1,DMH,Response,2023-11-03T03:00:00,2023-11-03T07:00:00,150.0,7.0
1,DMH,Response,2023-11-03T07:00:00,2023-11-03T11:00:00,155.0,0.15
1,DMH,Response,2023-11-03T11:00:00,2023-11-03T15:00:00,150.0,1.75
1,DMH,Response,2023-11-03T15:00:00,2023-11-03T19:00:00,164.0,-0.23
1,DMH,Response,2023-11-03T19:00:00,2023-11-03T23:00:00,168.0,-0.86
2,DRH,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,290.0,-7.84
2,DRH,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,290.0,-4.09
2,DRH,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,290.0,-5.85
2,DRH,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,290.0,-4.98
2,DRH,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,290.0,-6.52
2,DRH,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,290.0,-6.64
2,DML,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,150.0,2.15
2,DML,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,150.0,2.45
2,DML,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,150.0,2.95
2,DML,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,150.0,4.0
2,DML,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,150.0,8.56
2,DML,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,150.0,4.95
2,DCH,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,1133.0,2.15
2,DCH,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,1154.0,3.29
2,DCH,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,1084.0,1.89
2,DCH,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,1023.0,2.86
2,DCH,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,974.0,1.41
2,DCH,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,1000.0,1.55
2,DRL,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,270.0,11.42
2,DRL,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,220.0,9.48
2,DRL,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,221.0,10.76
2,DRL,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,221.0,10.3
2,DRL,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,221.0,16.3
2,DRL,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,235.0,12.0
2,DCL,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,924.0,0.75
2,DCL,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,940.0,0.07
2,DCL,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,922.0,1.05
2,DCL,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,749.0,0.28
2,DCL,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,894.0,4.49
2,DCL,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,910.0,1.05
2,DMH,Response,2023-11-03T23:00:00,2023-11-04T03:00:00,150.0,1.17
2,DMH,Response,2023-11-04T03:00:00,2023-11-04T07:00:00,150.0,2.3
2,DMH,Response,2023-11-04T07:00:00,2023-11-04T11:00:00,164.0,1.07
2,DMH,Response,2023-11-04T11:00:00,2023-11-04T15:00:00,157.0,0.0
2,DMH,Response,2023-11-04T15:00:00,2023-11-04T19:00:00,164.0,-0.79
2,DMH,Response,2023-11-04T19:00:00,2023-11-04T23:00:00,170.0,-0.95
3,DRH,Response,2023-11-04T23:00:00,2023-11-05T03:00:00,290.0,-5.4
3,DRH,Response,2023-11-05T03:00:00,2023-11-05T07:00:00,290.0,-3.65
3,DRH,Response,2023-11-05T07:00:00,2023-11-05T11:00:00,290.0,-5.68
3,DRH,Response,2023-11-05T11:00:00,2023-11-05T15:00:00,290.0,-4.68
3,DRH,Response,2023-11-05T15:00:00,2023-11-05T19:00:00,290.0,-6.77
3,DRH,Response,2023-11-05T19:00:00,2023-11-05T23:00:00,290.0,-6.64
3,DML,Response,2023-11-04T23:00:00,2023-11-05T03:00:00,150.0,2.85
3,DML,Response,2023-11-05T03:00:00,2023-11-05T07:00:00,150.0,2.6
3,DML,Response,2023-11-05T07:00:00,2023-11-05T11:00:00,150.0,3.25
3,DML,Response,2023-11-05T11:00:00,2023-11-05T15:00:00,150.0,3.2
3,DML,Response,2023-11-05T15:00:00,2023-11-05T19:00:00,150.0,8.56
3,DML,Response,2023-11-05T19:00:00,2023-11-05T23:00:00,150.0,5.82
3,DCH,Response,2023-11-04T23:00:00,2023-11-05T03:00:00,1112.0,2.1
3,DCH,Response,2023-11-05T03:00:00,2023-11-05T07:00:00,1192.0,2.85
3,DCH,Response,2023-11-05T07:00:00,2023-11-05T11:00:00,1178.0,1.98
3,DCH,Response,2023-11-05T11:00:00,2023-11-05T15:00:00,1142.0,2.5
3,DCH,Response,2023-11-05T15:00:00,2023-11-05T19:00:00,1039.0,0.3
3,DCH,Response,2023-11-05T19:00:00,2023-11-05T23:00:00,1105.0,1.6
3,DRL,Response,2023-11-04T23:00:00,2023-11-05T03:00:00,267.0,10.54
3,DRL,Response,2023-11-05T03:00:00,2023-11-05T07:00:00,221.0,9.48
3,DRL,Response,2023-11-05T07:00:00,2023-11-05T11:00:00,221.0,10.76
3,DRL,Response,2023-11-05T11:00:00,2023-11-05T15:00:00,248.0,10.3
3,DRL,Response,2023-11-05T15:00:00,2023-11-05T19:00:00,270.0,16.42
3,DRL,Response,2023-11-05T19:00:00,2023-11-05T23:00:00,270.0,13.48
3,DCL,Response,2023-11-04T23:00:00,2023-11-05T03:00:00,938.0,0.3
3,DCL,Response,2023-11-05T03:00:00,2023-11-05T07:00:00,1096.0,0.5
3,DCL,Response,2023-11-05T07:00:00,2023-11-05T11:00:00,1073.0,1.5
3,DCL,Response,2023-11-05T11:00:00,2023-11-05T15:00:00,1153.0,1.5
3,DCL,Response,2023-11-05T15:00:00,2023-11-05T19:00:00,1019.0,7.61
3,DCL,Response,2023-11-05T19:00:00,2023-11-05T23:00:00,991.0,1.05
3,DMH,Response,2023-11-04T23:00:00,2023-11-05T03:00:00,155.0,-0.06
3,DMH,Response,2023-11-05T03:00:00,2023-11-05T07:00:00,150.0,1.64
3,DMH,Response,2023-11-05T07:00:00,2023-11-05T11:00:00,150.0,0.75
3,DMH,Response,2023-11-05T11:00:00,2023-11-05T15:00:00,150.0,1.8
3,DMH,Response,2023-11-05T15:00:00,2023-11-05T19:00:00,170.0,-0.79
3,DMH,Response,2023-11-05T19:00:00,2023-11-05T23:00:00,170.0,-1.14
5,DRH,Response,2023-11-05T23:00:00,2023-11-06T03:00:00,290.0,-3.04
5,DRH,Response,2023-11-06T03:00:00,2023-11-06T07:00:00,290.0,-1.68
5,DRH,Response,2023-11-06T07:00:00,2023-11-06T11:00:00,290.0,-4.97
5,DRH,Response,2023-11-06T11:00:00,2023-11-06T15:00:00,290.0,-4.09
5,DRH,Response,2023-11-06T15:00:00,2023-11-06T19:00:00,290.0,-3.68
5,DRH,Response,2023-11-06T19:00:00,2023-11-06T23:00:00,290.0,-3.46
5,DML,Response,2023-11-05T23:00:00,2023-11-06T03:00:00,150.0,2.79
5,DML,Response,2023-11-06T03:00:00,2023-11-06T07:00:00,150.0,2.83
5,DML,Response,2023-11-06T07:00:00,2023-11-06T11:00:00,150.0,4.98
5,DML,Response,2023-11-06T11:00:00,2023-11-06T15:00:00,150.0,3.31
5,DML,Response,2023-11-06T15:00:00,2023-11-06T19:00:00,150.0,7.08
5,DML,Response,2023-11-06T19:00:00,2023-11-06T23:00:00,150.0,4.64
5,DCH,Response,2023-11-05T23:00:00,2023-11-06T03:00:00,1184.0,2.55
5,DCH,Response,2023-11-06T03:00:00,2023-11-06T07:00:00,1188.0,4.4
5,DCH,Response,2023-11-06T07:00:00,2023-11-06T11:00:00,983.0,1.19
5,DCH,Response,2023-11-06T11:00:00,2023-11-06T15:00:00,976.0,2.29
5,DCH,Response,2023-11-06T15:00:00,2023-11-06T19:00:00,963.0,0.77
5,DCH,Response,2023-11-06T19:00:00,2023-11-06T23:00:00,1069.0,2.87
5,DRL,Response,2023-11-05T23:00:00,2023-11-06T03:00:00,270.0,10.37
5,DRL,Response,2023-11-06T03:00:00,2023-11-06T07:00:00,217.0,9.73
5,DRL,Response,2023-11-06T07:00:00,2023-11-06T11:00:00,217.0,13.68
5,DRL,Response,2023-11-06T11:00:00,2023-11-06T15:00:00,217.0,10.56
5,DRL,Response,2023-11-06T15:00:00,2023-11-06T19:00:00,206.0,18.37
5,DRL,Response,2023-11-06T19:00:00,2023-11-06T23:00:00,217.0,11.17
5,DCL,Response,2023-11-05T23:00:00,2023-11-06T03:00:00,949.0,0.3
5,DCL,Response,2023-11-06T03:00:00,2023-11-06T07:00:00,1094.0,0.3
5,DCL,Response,2023-11-06T07:00:00,2023-11-06T11:00:00,1008.0,2.54
5,DCL,Response,2023-11-06T11:00:00,2023-11-06T15:00:00,981.0,1.04
5,DCL,Response,2023-11-06T15:00:00,2023-11-06T19:00:00,978.0,4.02
5,DCL,Response,2023-11-06T19:00:00,2023-11-06T23:00:00,1024.0,0.6
5,DMH,Response,2023-11-05T23:00:00,2023-11-06T03:00:00,150.0,0.5
5,DMH,Response,2023-11-06T03:00:00,2023-11-06T07:00:00,150.0,1.17
5,DMH,Response,2023-11-06T07:00:00,2023-11-06T11:00:00,162.0,-0.98
5,DMH,Response,2023-11-06T11:00:00,2023-11-06T15:00:00,159.0,-0.49
5,DMH,Response,2023-11-06T15:00:00,2023-11-06T19:00:00,170.0,-1.04
5,DMH,Response,2023-11-06T19:00:00,2023-11-06T23:00:00,150.0,0.03
4,DRH,Response,2023-11-06T23:00:00,2023-11-07T03:00:00,290.0,-1.16
4,DRH,Response,2023-11-07T03:00:00,2023-11-07T07:00:00,270.0,1.24
4,DRH,Response,2023-11-07T07:00:00,2023-11-07T11:00:00,288.0,-3.0
4,DRH,Response,2023-11-07T11:00:00,2023-11-07T15:00:00,290.0,-2.56
4,DRH,Response,2023-11-07T15:00:00,2023-11-07T19:00:00,287.0,0.33
4,DRH,Response,2023-11-07T19:00:00,2023-11-07T23:00:00,290.0,-4.27
4,DML,Response,2023-11-06T23:00:00,2023-11-07T03:00:00,150.0,2.47
4,DML,Response,2023-11-07T03:00:00,2023-11-07T07:00:00,150.0,1.43
4,DML,Response,2023-11-07T07:00:00,2023-11-07T11:00:00,150.0,4.25
4,DML,Response,2023-11-07T11:00:00,2023-11-07T15:00:00,150.0,2.5
4,DML,Response,2023-11-07T15:00:00,2023-11-07T19:00:00,144.0,9.02
4,DML,Response,2023-11-07T19:00:00,2023-11-07T23:00:00,150.0,4.86
4,DCH,Response,2023-11-06T23:00:00,2023-11-07T03:00:00,635.0,0.01
4,DCH,Response,2023-11-07T03:00:00,2023-11-07T07:00:00,637.0,0.23
4,DCH,Response,2023-11-07T07:00:00,2023-11-07T11:00:00,606.0,-1.34
4,DCH,Response,2023-11-07T11:00:00,2023-11-07T15:00:00,551.0,0.13
4,DCH,Response,2023-11-07T15:00:00,2023-11-07T19:00:00,615.0,-7.56
4,DCH,Response,2023-11-07T19:00:00,2023-11-07T23:00:00,612.0,-0.37
4,DRL,Response,2023-11-06T23:00:00,2023-11-07T03:00:00,270.0,8.93
4,DRL,Response,2023-11-07T03:00:00,2023-11-07T07:00:00,217.0,8.79
4,DRL,Response,2023-11-07T07:00:00,2023-11-07T11:00:00,217.0,13.08
4,DRL,Response,2023-11-07T11:00:00,2023-11-07T15:00:00,270.0,9.72
4,DRL,Response,2023-11-07T15:00:00,2023-11-07T19:00:00,204.0,19.0
4,DRL,Response,2023-11-07T19:00:00,2023-11-07T23:00:00,217.0,12.39
4,DCL,Response,2023-11-06T23:00:00,2023-11-07T03:00:00,942.0,1.07
4,DCL,Response,2023-11-07T03:00:00,2023-11-07T07:00:00,969.0,2.25
4,DCL,Response,2023-11-07T07:00:00,2023-11-07T11:00:00,945.0,4.5
4,DCL,Response,2023-11-07T11:00:00,2023-11-07T15:00:00,936.0,1.87
4,DCL,Response,2023-11-07T15:00:00,2023-11-07T19:00:00,927.0,12.72
4,DCL,Response,2023-11-07T19:00:00,2023-11-07T23:00:00,942.0,3.61
4,DMH,Response,2023-11-06T23:00:00,2023-11-07T03:00:00,150.0,1.13
4,DMH,Response,2023-11-07T03:00:00,2023-11-07T07:00:00,150.0,1.43
4,DMH,Response,2023-11-07T07:00:00,2023-11-07T11:00:00,170.0,-0.62
4,DMH,Response,2023-11-07T11:00:00,2023-11-07T15:00:00,150.0,1.5
4,DMH,Response,2023-11-07T15:00:00,2023-11-07T19:00:00,170.0,-1.14
4,DMH,Response,2023-11-07T19:00:00,2023-11-07T23:00:00,170.0,-0.86
6,DRH,Response,2023-11-07T23:00:00,2023-11-08T03:00:00,285.0,-0.09
6,DRH,Response,2023-11-08T03:00:00,2023-11-08T07:00:00,270.0,2.01
6,DRH,Response,2023-11-08T07:00:00,2023-11-08T11:00:00,290.0,-3.71
6,DRH,Response,2023-11-08T11:00:00,2023-11-08T15:00:00,290.0,-3.0
6,DRH,Response,2023-11-08T15:00:00,2023-11-08T19:00:00,290.0,-3.0
6,DRH,Response,2023-11-08T19:00:00,2023-11-08T23:00:00,290.0,-3.56
6,DML,Response,2023-11-07T23:00:00,2023-11-08T03:00:00,150.0,2.46
6,DML,Response,2023-11-08T03:00:00,2023-11-08T07:00:00,150.0,2.43
6,DML,Response,2023-11-08T07:00:00,2023-11-08T11:00:00,150.0,4.84
6,DML,Response,2023-11-08T11:00:00,2023-11-08T15:00:00,150.0,3.0
6,DML,Response,2023-11-08T15:00:00,2023-11-08T19:00:00,134.0,8.0
6,DML,Response,2023-11-08T19:00:00,2023-11-08T23:00:00,150.0,5.15
6,DCH,Response,2023-11-07T23:00:00,2023-11-08T03:00:00,1139.0,2.5
6,DCH,Response,2023-11-08T03:00:00,2023-11-08T07:00:00,1159.0,3.32
6,DCH,Response,2023-11-08T07:00:00,2023-11-08T11:00:00,1056.0,1.54
6,DCH,Response,2023-11-08T11:00:00,2023-11-08T15:00:00,1006.0,2.7
6,DCH,Response,2023-11-08T15:00:00,2023-11-08T19:00:00,946.0,1.63
6,DCH,Response,2023-11-08T19:00:00,2023-11-08T23:00:00,1041.0,2.15
6,DRL,Response,2023-11-07T23:00:00,2023-11-08T03:00:00,237.0,8.9
6,DRL,Response,2023-11-08T03:00:00,2023-11-08T07:00:00,218.0,8.11
6,DRL,Response,2023-11-08T07:00:00,2023-11-08T11:00:00,270.0,12.09
6,DRL,Response,2023-11-08T11:00:00,2023-11-08T15:00:00,270.0,10.29
6,DRL,Response,2023-11-08T15:00:00,2023-11-08T19:00:00,218.0,17.52
6,DRL,Response,2023-11-08T19:00:00,2023-11-08T23:00:00,270.0,11.99
6,DCL,Response,2023-11-07T23:00:00,2023-11-08T03:00:00,927.0,0.4
6,DCL,Response,2023-11-08T03:00:00,2023-11-08T07:00:00,989.0,0.5
6,DCL,Response,2023-11-08T07:00:00,2023-11-08T11:00:00,944.0,1.78
6,DCL,Response,2023-11-08T11:00:00,2023-11-08T15:00:00,917.0,0.5
6,DCL,Response,2023-11-08T15:00:00,2023-11-08T19:00:00,921.0,4.11
6,DCL,Response,2023-11-08T19:00:00,2023-11-08T23:00:00,938.0,1.51
6,DMH,Response,2023-11-07T23:00:00,2023-11-08T03:00:00,150.0,1.23
6,DMH,Response,2023-11-08T03:00:00,2023-11-08T07:00:00,150.0,1.76
6,DMH,Response,2023-11-08T07:00:00,2023-11-08T11:00:00,161.0,-1.62
6,DMH,Response,2023-11-08T11:00:00,2023-11-08T15:00:00,150.0,1.0
6,DMH,Response,2023-11-08T15:00:00,2023-11-08T19:00:00,169.0,-1.52
6,DMH,Response,2023-11-08T19:00:00,2023-11-08T23:00:00,155.0,-1.15
7,DRH,Response,2023-11-08T23:00:00,2023-11-09T03:00:00,290.0,-2.51
7,DRH,Response,2023-11-09T03:00:00,2023-11-09T07:00:00,290.0,-1.08
7,DRH,Response,2023-11-09T07:00:00,2023-11-09T11:00:00,290.0,-5.48
7,DRH,Response,2023-11-09T11:00:00,2023-11-09T15:00:00,290.0,-3.64
7,DRH,Response,2023-11-09T15:00:00,2023-11-09T19:00:00,290.0,-6.62
7,DRH,Response,2023-11-09T19:00:00,2023-11-09T23:00:00,290.0,-6.24
7,DML,Response,2023-11-08T23:00:00,2023-11-09T03:00:00,150.0,2.75
7,DML,Response,2023-11-09T03:00:00,2023-11-09T07:00:00,150.0,3.8
7,DML,Response,2023-11-09T07:00:00,2023-11-09T11:00:00,150.0,7.68
7,DML,Response,2023-11-09T11:00:00,2023-11-09T15:00:00,150.0,3.76
7,DML,Response,2023-11-09T15:00:00,2023-11-09T19:00:00,98.0,8.07
7,DML,Response,2023-11-09T19:00:00,2023-11-09T23:00:00,150.0,5.59
7,DCH,Response,2023-11-08T23:00:00,2023-11-09T03:00:00,1104.0,2.0
7,DCH,Response,2023-11-09T03:00:00,2023-11-09T07:00:00,1144.0,3.32
7,DCH,Response,2023-11-09T07:00:00,2023-11-09T11:00:00,965.0,1.54
7,DCH,Response,2023-11-09T11:00:00,2023-11-09T15:00:00,946.0,2.0
7,DCH,Response,2023-11-09T15:00:00,2023-11-09T19:00:00,925.0,1.49
7,DCH,Response,2023-11-09T19:00:00,2023-11-09T23:00:00,963.0,1.62
7,DRL,Response,2023-11-08T23:00:00,2023-11-09T03:00:00,263.0,10.14
7,DRL,Response,2023-11-09T03:00:00,2023-11-09T07:00:00,260.0,9.83
7,DRL,Response,2023-11-09T07:00:00,2023-11-09T11:00:00,270.0,15.04
7,DRL,Response,2023-11-09T11:00:00,2023-11-09T15:00:00,270.0,12.14
7,DRL,Response,2023-11-09T15:00:00,2023-11-09T19:00:00,227.0,17.0
7,DRL,Response,2023-11-09T19:00:00,2023-11-09T23:00:00,270.0,13.67
7,DCL,Response,2023-11-08T23:00:00,2023-11-09T03:00:00,930.0,0.6
7,DCL,Response,2023-11-09T03:00:00,2023-11-09T07:00:00,943.0,0.4
7,DCL,Response,2023-11-09T07:00:00,2023-11-09T11:00:00,916.0,1.98
7,DCL,Response,2023-11-09T11:00:00,2023-11-09T15:00:00,939.0,1.5
7,DCL,Response,2023-11-09T15:00:00,2023-11-09T19:00:00,894.0,2.66
7,DCL,Response,2023-11-09T19:00:00,2023-11-09T23:00:00,918.0,1.5
7,DMH,Response,2023-11-08T23:00:00,2023-11-09T03:00:00,150.0,1.25
7,DMH,Response,2023-11-09T03:00:00,2023-11-09T07:00:00,150.0,2.38
7,DMH,Response,2023-11-09T07:00:00,2023-11-09T11:00:00,158.0,-1.68
7,DMH,Response,2023-11-09T11:00:00,2023-11-09T15:00:00,150.0,0.9
7,DMH,Response,2023-11-09T15:00:00,2023-11-09T19:00:00,164.0,-2.07
7,DMH,Response,2023-11-09T19:00:00,2023-11-09T23:00:00,170.0,-1.59
8,DRH,Response,2023-11-09T23:00:00,2023-11-10T03:00:00,290.0,-2.05
8,DRH,Response,2023-11-10T03:00:00,2023-11-10T07:00:00,290.0,-2.2
8,DRH,Response,2023-11-10T07:00:00,2023-11-10T11:00:00,290.0,-8.15
8,DRH,Response,2023-11-10T11:00:00,2023-11-10T15:00:00,290.0,-3.14
8,DRH,Response,2023-11-10T15:00:00,2023-11-10T19:00:00,290.0,-7.05
8,DRH,Response,2023-11-10T19:00:00,2023-11-10T23:00:00,290.0,-2.58
8,DML,Response,2023-11-09T23:00:00,2023-11-10T03:00:00,150.0,2.78
8,DML,Response,2023-11-10T03:00:00,2023-11-10T07:00:00,150.0,3.2
8,DML,Response,2023-11-10T07:00:00,2023-11-10T11:00:00,150.0,8.26
8,DML,Response,2023-11-10T11:00:00,2023-11-10T15:00:00,150.0,2.8
8,DML,Response,2023-11-10T15:00:00,2023-11-10T19:00:00,94.0,8.5
8,DML,Response,2023-11-10T19:00:00,2023-11-10T23:00:00,150.0,3.73
8,DCH,Response,2023-11-09T23:00:00,2023-11-10T03:00:00,1084.0,1.82
8,DCH,Response,2023-11-10T03:00:00,2023-11-10T07:00:00,1099.0,2.14
8,DCH,Response,2023-11-10T07:00:00,2023-11-10T11:00:00,944.0,1.8
8,DCH,Response,2023-11-10T11:00:00,2023-11-10T15:00:00,961.0,2.0
8,DCH,Response,2023-11-10T15:00:00,2023-11-10T19:00:00,950.0,2.05
8,DCH,Response,2023-11-10T19:00:00,2023-11-10T23:00:00,1007.0,1.66
8,DRL,Response,2023-11-09T23:00:00,2023-11-10T03:00:00,270.0,11.0
8,DRL,Response,2023-11-10T03:00:00,2023-11-10T07:00:00,221.0,11.26
8,DRL,Response,2023-11-10T07:00:00,2023-11-10T11:00:00,270.0,14.0
8,DRL,Response,2023-11-10T11:00:00,2023-11-10T15:00:00,254.0,11.0
8,DRL,Response,2023-11-10T15:00:00,2023-11-10T19:00:00,218.0,18.45
8,DRL,Response,2023-11-10T19:00:00,2023-11-10T23:00:00,219.0,14.0
8,DCL,Response,2023-11-09T23:00:00,2023-11-10T03:00:00,921.0,0.6
8,DCL,Response,2023-11-10T03:00:00,2023-11-10T07:00:00,927.0,0.81
8,DCL,Response,2023-11-10T07:00:00,2023-11-10T11:00:00,872.0,2.07
8,DCL,Response,2023-11-10T11:00:00,2023-11-10T15:00:00,914.0,1.55
8,DCL,Response,2023-11-10T15:00:00,2023-11-10T19:00:00,859.0,2.89
8,DCL,Response,2023-11-10T19:00:00,2023-11-10T23:00:00,888.0,1.34
8,DMH,Response,2023-11-09T23:00:00,2023-11-10T03:00:00,150.0,2.5
8,DMH,Response,2023-11-10T03:00:00,2023-11-10T07:00:00,150.0,2.16
8,DMH,Response,2023-11-10T07:00:00,2023-11-10T11:00:00,162.0,-2.17
8,DMH,Response,2023-11-10T11:00:00,2023-11-10T15:00:00,150.0,1.32
8,DMH,Response,2023-11-10T15:00:00,2023-11-10T19:00:00,150.0,1.0
8,DMH,Response,2023-11-10T19:00:00,2023-11-10T23:00:00,162.0,-0.04
9,DRH,Response,2023-11-10T23:00:00,2023-11-11T03:00:00,290.0,-3.44
9,DRH,Response,2023-11-11T03:00:00,2023-11-11T07:00:00,270.0,0.5
9,DRH,Response,2023-11-11T07:00:00,2023-11-11T11:00:00,290.0,-4.45
9,DRH,Response,2023-11-11T11:00:00,2023-11-11T15:00:00,290.0,-3.98
9,DRH,Response,2023-11-11T15:00:00,2023-11-11T19:00:00,290.0,-6.34
9,DRH,Response,2023-11-11T19:00:00,2023-11-11T23:00:00,290.0,-5.96
9,DML,Response,2023-11-10T23:00:00,2023-11-11T03:00:00,150.0,2.72
9,DML,Response,2023-11-11T03:00:00,2023-11-11T07:00:00,150.0,4.01
9,DML,Response,2023-11-11T07:00:00,2023-11-11T11:00:00,150.0,3.14
9,DML,Response,2023-11-11T11:00:00,2023-11-11T15:00:00,150.0,2.84
9,DML,Response,2023-11-11T15:00:00,2023-11-11T19:00:00,150.0,8.24
9,DML,Response,2023-11-11T19:00:00,2023-11-11T23:00:00,150.0,3.63
9,DCH,Response,2023-11-10T23:00:00,2023-11-11T03:00:00,1171.0,1.07
9,DCH,Response,2023-11-11T03:00:00,2023-11-11T07:00:00,1182.0,1.97
9,DCH,Response,2023-11-11T07:00:00,2023-11-11T11:00:00,1065.0,1.06
9,DCH,Response,2023-11-11T11:00:00,2023-11-11T15:00:00,986.0,1.67
9,DCH,Response,2023-11-11T15:00:00,2023-11-11T19:00:00,936.0,1.01
9,DCH,Response,2023-11-11T19:00:00,2023-11-11T23:00:00,977.0,0.88
9,DRL,Response,2023-11-10T23:00:00,2023-11-11T03:00:00,252.0,9.97
9,DRL,Response,2023-11-11T03:00:00,2023-11-11T07:00:00,263.0,9.57
9,DRL,Response,2023-11-11T07:00:00,2023-11-11T11:00:00,270.0,12.76
9,DRL,Response,2023-11-11T11:00:00,2023-11-11T15:00:00,270.0,10.48
9,DRL,Response,2023-11-11T15:00:00,2023-11-11T19:00:00,219.0,18.34
9,DRL,Response,2023-11-11T19:00:00,2023-11-11T23:00:00,219.0,12.75
9,DCL,Response,2023-11-10T23:00:00,2023-11-11T03:00:00,962.0,0.83
9,DCL,Response,2023-11-11T03:00:00,2023-11-11T07:00:00,957.0,0.6
9,DCL,Response,2023-11-11T07:00:00,2023-11-11T11:00:00,939.0,1.16
9,DCL,Response,2023-11-11T11:00:00,2023-11-11T15:00:00,927.0,0.88
9,DCL,Response,2023-11-11T15:00:00,2023-11-11T19:00:00,926.0,4.0
9,DCL,Response,2023-11-11T19:00:00,2023-11-11T23:00:00,930.0,1.03
9,DMH,Response,2023-11-10T23:00:00,2023-11-11T03:00:00,154.0,-0.11
9,DMH,Response,2023-11-11T03:00:00,2023-11-11T07:00:00,150.0,1.4
9,DMH,Response,2023-11-11T07:00:00,2023-11-11T11:00:00,170.0,-1.14
9,DMH,Response,2023-11-11T11:00:00,2023-11-11T15:00:00,159.0,-0.49
9,DMH,Response,2023-11-11T15:00:00,2023-11-11T19:00:00,170.0,-1.0
